变量名,题号,测量层级,新码,原取值,备注
QUOTAGERANGE,S5,ordinal,1,18-29,面板配额变量，数据里只有三档；升序：1＝最年轻档
QUOTAGERANGE,S5,ordinal,2,30-49,面板配额变量，数据里只有三档；升序：1＝最年轻档
QUOTAGERANGE,S5,ordinal,3,50-60,面板配额变量，数据里只有三档；升序：1＝最年轻档
GENDER_NonBinary,S4,nominal,0,男性,男 0／女 1；「回答しない」＝98；平台另加的「その他」＝99
GENDER_NonBinary,S4,nominal,1,女性,男 0／女 1；「回答しない」＝98；平台另加的「その他」＝99
GENDER_NonBinary,S4,nominal,99,その他,男 0／女 1；「回答しない」＝98；平台另加的「その他」＝99
GENDER_NonBinary,S4,nominal,98,回答しない,男 0／女 1；「回答しない」＝98；平台另加的「その他」＝99
JPSTDREGION,（面板）,nominal,1,Hokkaido,按日本标准地域顺序，北海道到九州
JPSTDREGION,（面板）,nominal,2,Tohoku,按日本标准地域顺序，北海道到九州
JPSTDREGION,（面板）,nominal,3,Kanto,按日本标准地域顺序，北海道到九州
JPSTDREGION,（面板）,nominal,4,Chubu,按日本标准地域顺序，北海道到九州
JPSTDREGION,（面板）,nominal,5,Kansai,按日本标准地域顺序，北海道到九州
JPSTDREGION,（面板）,nominal,6,Chugoku,按日本标准地域顺序，北海道到九州
JPSTDREGION,（面板）,nominal,7,Shikoku,按日本标准地域顺序，北海道到九州
JPSTDREGION,（面板）,nominal,8,Kyushu / Okinawa,按日本标准地域顺序，北海道到九州
IDP52,Q5,nominal,1,ファイナルファンタジーXIV,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,2,BLUE PROTOCOL,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,3,黒い砂漠 MOBILE,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,4,リネージュM,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,5,リネージュ2M,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,6,オーディン：ヴァルハラ・ライジング,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,7,Ash Tale-風の大陸-,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,8,ツリーオブセイヴァー：ネバーランド,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,9,杖と剣の伝説,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,10,AZUREA-空の唄-,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,11,ディアブロ イモータル,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,12,コード：ドラゴンブラッド,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,13,二ノ国：Cross Worlds,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,14,ラグナロクオンライン,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,15,ラグナロク マスターズ,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,16,ラグナロクX,码序＝Q2 的 17 款游戏顺序
IDP52,Q5,nominal,17,ラグナロクオリジン,码序＝Q2 的 17 款游戏顺序
IDP34,Q6,ordinal,1,3 个月以内,升序：1＝3 个月以内
IDP34,Q6,ordinal,2,3–6 个月,升序：1＝3 个月以内
IDP34,Q6,ordinal,3,6 个月–1 年,升序：1＝3 个月以内
IDP34,Q6,ordinal,4,1–3 年,升序：1＝3 个月以内
IDP34,Q6,ordinal,5,3–5 年,升序：1＝3 个月以内
IDP34,Q6,ordinal,6,5 年以上,升序：1＝3 个月以内
IDP35,Q7,ordinal,1,30分未満,升序：1＝30 分未满
IDP35,Q7,ordinal,2,30分～1時間,升序：1＝30 分未满
IDP35,Q7,ordinal,3,1時間～2時間,升序：1＝30 分未满
IDP35,Q7,ordinal,4,2時間～3時間,升序：1＝30 分未满
IDP35,Q7,ordinal,5,3時間～5時間,升序：1＝30 分未满
IDP35,Q7,ordinal,6,5時間以上,升序：1＝30 分未满
IDP36,Q8,ordinal,1,課金はしていない,升序；末项不便回答＝98
IDP36,Q8,ordinal,2,1000円以内,升序；末项不便回答＝98
IDP36,Q8,ordinal,3,1000～3000円,升序；末项不便回答＝98
IDP36,Q8,ordinal,4,3000～5000円,升序；末项不便回答＝98
IDP36,Q8,ordinal,5,5000～1万円,升序；末项不便回答＝98
IDP36,Q8,ordinal,6,1万～3万円,升序；末项不便回答＝98
IDP36,Q8,ordinal,7,3万～5万円,升序；末项不便回答＝98
IDP36,Q8,ordinal,8,5万円以上,升序；末项不便回答＝98
IDP36,Q8,ordinal,98,回答したくない,升序；末项不便回答＝98
IDP38,Q10,ordinal,1,3ヶ月未満,升序：1＝3 个月未满
IDP38,Q10,ordinal,2,3～6ヶ月,升序：1＝3 个月未满
IDP38,Q10,ordinal,3,6ヶ月～1年,升序：1＝3 个月未满
IDP38,Q10,ordinal,4,1年～3年,升序：1＝3 个月未满
IDP38,Q10,ordinal,5,3年～5年,升序：1＝3 个月未满
IDP38,Q10,ordinal,6,5年以上,升序：1＝3 个月未满
IDP39,Q11,ordinal,1,30分未満,升序：1＝30 分未满
IDP39,Q11,ordinal,2,30分～1時間,升序：1＝30 分未满
IDP39,Q11,ordinal,3,1時間～2時間,升序：1＝30 分未满
IDP39,Q11,ordinal,4,2時間～3時間,升序：1＝30 分未满
IDP39,Q11,ordinal,5,3時間～5時間,升序：1＝30 分未满
IDP39,Q11,ordinal,6,5時間以上,升序：1＝30 分未满
IDP40,Q12,ordinal,1,課金はしていない,升序；末项不便回答＝98
IDP40,Q12,ordinal,2,1000円以内,升序；末项不便回答＝98
IDP40,Q12,ordinal,3,1000～3000円,升序；末项不便回答＝98
IDP40,Q12,ordinal,4,3000～5000円,升序；末项不便回答＝98
IDP40,Q12,ordinal,5,5000～1万円,升序；末项不便回答＝98
IDP40,Q12,ordinal,6,1万～3万円,升序；末项不便回答＝98
IDP40,Q12,ordinal,7,3万～5万円,升序；末项不便回答＝98
IDP40,Q12,ordinal,8,5万円以上,升序；末项不便回答＝98
IDP40,Q12,ordinal,98,回答したくない,升序；末项不便回答＝98
IDP41,Q13,ordinal,1,このIPがとても好きで、ROシリーズ作品をプレイしたことがある,降序：1＝最喜欢且玩过，4＝完全不了解
IDP41,Q13,ordinal,2,ROシリーズ作品をプレイしたことはあるが、特に好きというわけではない,降序：1＝最喜欢且玩过，4＝完全不了解
IDP41,Q13,ordinal,3,IPの名前を聞いたことはあるが、ゲーム内容についてはよく知らない,降序：1＝最喜欢且玩过，4＝完全不了解
IDP41,Q13,ordinal,4,このIP自体を知らないし、ゲームについてもわからない,降序：1＝最喜欢且玩过，4＝完全不了解
IDP42,Q14,ordinal,1,全くプレイしたくない,升序：1＝完全不想，5＝非常想
IDP42,Q14,ordinal,2,プレイしたくない,升序：1＝完全不想，5＝非常想
IDP42,Q14,ordinal,3,どちらとも言えない,升序：1＝完全不想，5＝非常想
IDP42,Q14,ordinal,4,ややプレイしてみたい,升序：1＝完全不想，5＝非常想
IDP42,Q14,ordinal,5,ぜひプレイしてみたい,升序：1＝完全不想，5＝非常想
IDP55,Q23,nominal,1,アクティブ型：自分から積極的に声をかけてパーティーを組んだり、ギルドイベントに参加する,码序＝问卷顺序：主动／被动／独狼／视情况而定
IDP55,Q23,nominal,2,パッシブ（聞き専）型：自分から積極的には動かないが、他人のチャットを眺めたり、パーティー参加時も基本的には無言でついていく,码序＝问卷顺序：主动／被动／独狼／视情况而定
IDP55,Q23,nominal,3,ソロプレイ型：基本的には誰ともコミュニケーションせず、ひとりでプレイする,码序＝问卷顺序：主动／被动／独狼／视情况而定
IDP55,Q23,nominal,4,状況による（ゲームの雰囲気、リアルタイムの余裕、友人がプレイしているか等によって変わる）,码序＝问卷顺序：主动／被动／独狼／视情况而定
IDP61,Q29,ordinal,1,課金はしていない,升序；末项不便回答＝98
IDP61,Q29,ordinal,2,1000円以内,升序；末项不便回答＝98
IDP61,Q29,ordinal,3,1000～3000円,升序；末项不便回答＝98
IDP61,Q29,ordinal,4,3000～5000円,升序；末项不便回答＝98
IDP61,Q29,ordinal,5,5000～1万円,升序；末项不便回答＝98
IDP61,Q29,ordinal,6,1万～3万円,升序；末项不便回答＝98
IDP61,Q29,ordinal,7,3万～5万円,升序；末项不便回答＝98
IDP61,Q29,ordinal,8,5万円以上,升序；末项不便回答＝98
IDP61,Q29,ordinal,98,回答したくない,升序；末项不便回答＝98
IDP63,Q31,nominal,1,している,1＝关注，2＝不关注
IDP63,Q31,nominal,2,していない,1＝关注，2＝不关注
IDP68,Q36,nominal,1,学生,码序＝问卷顺序
IDP68,Q36,nominal,2,一般社員,码序＝问卷顺序
IDP68,Q36,nominal,3,管理職,码序＝问卷顺序
IDP68,Q36,nominal,4,公務員,码序＝问卷顺序
IDP68,Q36,nominal,5,フリーランス,码序＝问卷顺序
IDP68,Q36,nominal,6,自営業・経営者,码序＝问卷顺序
IDP68,Q36,nominal,7,専業主婦・主夫,码序＝问卷顺序
IDP68,Q36,nominal,8,求職中・無職,码序＝问卷顺序
IDP68,Q36,nominal,9,定年退職者,码序＝问卷顺序
IDP68,Q36,nominal,10,その他（具体的にご記入ください）,码序＝问卷顺序
IDP69,Q37,ordinal,1,ほとんどない,升序；末项不愿回答＝98
IDP69,Q37,ordinal,2,5000円未満,升序；末项不愿回答＝98
IDP69,Q37,ordinal,3,5000～1万円,升序；末项不愿回答＝98
IDP69,Q37,ordinal,4,1万～3万円,升序；末项不愿回答＝98
IDP69,Q37,ordinal,5,3万～5万円,升序；末项不愿回答＝98
IDP69,Q37,ordinal,6,5万～10万円,升序；末项不愿回答＝98
IDP69,Q37,ordinal,7,10万円以上,升序；末项不愿回答＝98
IDP69,Q37,ordinal,98,回答したくない,升序；末项不愿回答＝98
